DATE OF ACQUISITION,Country
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Egypt
1889,Iran
1889,Iran
1889,Iran
1889,Iran
1889,Turkey
1889,Turkey
1889,Turkey
1889,Turkey
1889,Turkey
1889,Turkey
1889,Turkey
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
1890,Egypt
